Comunidad Autonoma;Tasa Paro;Sexo;Periodo;Edad
Total Nacional;16.65;Ambos sexos;2009T4;25 y más años
Total Nacional;15.45;Ambos sexos;2009T3;25 y más años
Total Nacional;15.59;Ambos sexos;2009T2;25 y más años
Total Nacional;15.25;Ambos sexos;2009T1;25 y más años
Total Nacional;12.06;Ambos sexos;2008T4;25 y más años
Total Nacional;9.63;Ambos sexos;2008T3;25 y más años
Total Nacional;8.8;Ambos sexos;2008T2;25 y más años
Total Nacional;8.27;Ambos sexos;2008T1;25 y más años
Total Nacional;7.37;Ambos sexos;2007T4;25 y más años
Total Nacional;6.73;Ambos sexos;2007T3;25 y más años
Total Nacional;6.68;Ambos sexos;2007T2;25 y más años
Total Nacional;7.29;Ambos sexos;2007T1;25 y más años
Total Nacional;7.07;Ambos sexos;2006T4;25 y más años
Total Nacional;6.91;Ambos sexos;2006T3;25 y más años
Total Nacional;7.18;Ambos sexos;2006T2;25 y más años
Total Nacional;7.79;Ambos sexos;2006T1;25 y más años
Total Nacional;7.41;Ambos sexos;2005T4;25 y más años
Total Nacional;7.06;Ambos sexos;2005T3;25 y más años
Total Nacional;7.83;Ambos sexos;2005T2;25 y más años
Total Nacional;8.62;Ambos sexos;2005T1;25 y más años
Total Nacional;9.13;Ambos sexos;2004T4;25 y más años
Total Nacional;9.22;Ambos sexos;2004T3;25 y más años
Total Nacional;9.56;Ambos sexos;2004T2;25 y más años
Total Nacional;10.0;Ambos sexos;2004T1;25 y más años
Total Nacional;9.78;Ambos sexos;2003T4;25 y más años
Total Nacional;9.71;Ambos sexos;2003T3;25 y más años
Total Nacional;9.72;Ambos sexos;2003T2;25 y más años
Total Nacional;10.37;Ambos sexos;2003T1;25 y más años
Total Nacional;9.92;Ambos sexos;2002T4;25 y más años
Total Nacional;9.87;Ambos sexos;2002T3;25 y más años
Total Nacional;9.6;Ambos sexos;2002T2;25 y más años
Total Nacional;9.96;Ambos sexos;2002T1;25 y más años
Total Nacional;42.15;Ambos sexos;2019T3;De 16 a 19 años
Total Nacional;46.26;Ambos sexos;2019T2;De 16 a 19 años
Total Nacional;49.26;Ambos sexos;2019T1;De 16 a 19 años
Total Nacional;46.89;Ambos sexos;2018T4;De 16 a 19 años
Total Nacional;45.43;Ambos sexos;2018T3;De 16 a 19 años
Total Nacional;51.64;Ambos sexos;2018T2;De 16 a 19 años
Total Nacional;56.15;Ambos sexos;2018T1;De 16 a 19 años
Total Nacional;54.2;Ambos sexos;2017T4;De 16 a 19 años
Total Nacional;50.41;Ambos sexos;2017T3;De 16 a 19 años
Total Nacional;55.98;Ambos sexos;2017T2;De 16 a 19 años
Total Nacional;58.74;Ambos sexos;2017T1;De 16 a 19 años
Total Nacional;58.67;Ambos sexos;2016T4;De 16 a 19 años
Total Nacional;54.69;Ambos sexos;2016T3;De 16 a 19 años
Total Nacional;63.52;Ambos sexos;2016T2;De 16 a 19 años
Total Nacional;64.12;Ambos sexos;2016T1;De 16 a 19 años
Total Nacional;66.09;Ambos sexos;2015T4;De 16 a 19 años
Total Nacional;63.73;Ambos sexos;2015T3;De 16 a 19 años
Total Nacional;69.36;Ambos sexos;2015T2;De 16 a 19 años
Total Nacional;70.45;Ambos sexos;2015T1;De 16 a 19 años
Total Nacional;67.28;Ambos sexos;2014T4;De 16 a 19 años
Total Nacional;66.71;Ambos sexos;2014T3;De 16 a 19 años
Total Nacional;70.39;Ambos sexos;2014T2;De 16 a 19 años
Total Nacional;70.16;Ambos sexos;2014T1;De 16 a 19 años
Total Nacional;75.53;Ambos sexos;2013T4;De 16 a 19 años
Total Nacional;72.15;Ambos sexos;2013T3;De 16 a 19 años
Total Nacional;73.0;Ambos sexos;2013T2;De 16 a 19 años
Total Nacional;75.63;Ambos sexos;2013T1;De 16 a 19 años
Total Nacional;73.88;Ambos sexos;2012T4;De 16 a 19 años
Total Nacional;71.89;Ambos sexos;2012T3;De 16 a 19 años
Total Nacional;73.19;Ambos sexos;2012T2;De 16 a 19 años
Total Nacional;71.44;Ambos sexos;2012T1;De 16 a 19 años
Total Nacional;69.15;Ambos sexos;2011T4;De 16 a 19 años
Total Nacional;60.38;Ambos sexos;2011T3;De 16 a 19 años
Total Nacional;62.53;Ambos sexos;2011T2;De 16 a 19 años
Total Nacional;65.3;Ambos sexos;2011T1;De 16 a 19 años
Total Nacional;63.67;Ambos sexos;2010T4;De 16 a 19 años
Total Nacional;59.99;Ambos sexos;2010T3;De 16 a 19 años
Total Nacional;62.15;Ambos sexos;2010T2;De 16 a 19 años
Total Nacional;59.54;Ambos sexos;2010T1;De 16 a 19 años
Total Nacional;57.47;Ambos sexos;2009T4;De 16 a 19 años
Total Nacional;53.52;Ambos sexos;2009T3;De 16 a 19 años
Total Nacional;56.18;Ambos sexos;2009T2;De 16 a 19 años
Total Nacional;54.25;Ambos sexos;2009T1;De 16 a 19 años
Total Nacional;45.83;Ambos sexos;2008T4;De 16 a 19 años
Total Nacional;38.34;Ambos sexos;2008T3;De 16 a 19 años
Total Nacional;40.96;Ambos sexos;2008T2;De 16 a 19 años
Total Nacional;32.82;Ambos sexos;2008T1;De 16 a 19 años
Total Nacional;31.08;Ambos sexos;2007T4;De 16 a 19 años
Total Nacional;27.21;Ambos sexos;2007T3;De 16 a 19 años
Total Nacional;29.19;Ambos sexos;2007T2;De 16 a 19 años
Total Nacional;27.59;Ambos sexos;2007T1;De 16 a 19 años
Total Nacional;31.23;Ambos sexos;2006T4;De 16 a 19 años
Total Nacional;24.87;Ambos sexos;2006T3;De 16 a 19 años
Total Nacional;31.22;Ambos sexos;2006T2;De 16 a 19 años
Total Nacional;29.68;Ambos sexos;2006T1;De 16 a 19 años
Total Nacional;27.83;Ambos sexos;2005T4;De 16 a 19 años
Total Nacional;26.88;Ambos sexos;2005T3;De 16 a 19 años
Total Nacional;31.07;Ambos sexos;2005T2;De 16 a 19 años
Total Nacional;31.21;Ambos sexos;2005T1;De 16 a 19 años
Total Nacional;29.04;Ambos sexos;2004T4;De 16 a 19 años
Total Nacional;29.28;Ambos sexos;2004T3;De 16 a 19 años
Total Nacional;32.16;Ambos sexos;2004T2;De 16 a 19 años
Total Nacional;32.45;Ambos sexos;2004T1;De 16 a 19 años
Total Nacional;32.07;Ambos sexos;2003T4;De 16 a 19 años
Total Nacional;31.49;Ambos sexos;2003T3;De 16 a 19 años
Total Nacional;34.13;Ambos sexos;2003T2;De 16 a 19 años
Total Nacional;33.85;Ambos sexos;2003T1;De 16 a 19 años
Total Nacional;31.55;Ambos sexos;2002T4;De 16 a 19 años
Total Nacional;30.06;Ambos sexos;2002T3;De 16 a 19 años
Total Nacional;29.48;Ambos sexos;2002T2;De 16 a 19 años
Total Nacional;28.42;Ambos sexos;2002T1;De 16 a 19 años
Total Nacional;29.28;Ambos sexos;2019T3;De 20 a 24 años
Total Nacional;30.22;Ambos sexos;2019T2;De 20 a 24 años
Total Nacional;32.0;Ambos sexos;2019T1;De 20 a 24 años
Total Nacional;30.78;Ambos sexos;2018T4;De 20 a 24 años
Total Nacional;30.1;Ambos sexos;2018T3;De 20 a 24 años
Total Nacional;30.97;Ambos sexos;2018T2;De 20 a 24 años
Total Nacional;32.37;Ambos sexos;2018T1;De 20 a 24 años
Total Nacional;33.95;Ambos sexos;2017T4;De 20 a 24 años
Total Nacional;32.69;Ambos sexos;2017T3;De 20 a 24 años
Total Nacional;36.15;Ambos sexos;2017T2;De 20 a 24 años
Total Nacional;38.37;Ambos sexos;2017T1;De 20 a 24 años
Total Nacional;39.83;Ambos sexos;2016T4;De 20 a 24 años
Total Nacional;39.27;Ambos sexos;2016T3;De 20 a 24 años
Total Nacional;43.33;Ambos sexos;2016T2;De 20 a 24 años
Total Nacional;43.26;Ambos sexos;2016T1;De 20 a 24 años
Total Nacional;42.52;Ambos sexos;2015T4;De 20 a 24 años
Total Nacional;42.89;Ambos sexos;2015T3;De 20 a 24 años
Total Nacional;45.26;Ambos sexos;2015T2;De 20 a 24 años
Total Nacional;47.74;Ambos sexos;2015T1;De 20 a 24 años
Total Nacional;48.88;Ambos sexos;2014T4;De 20 a 24 años
Total Nacional;49.54;Ambos sexos;2014T3;De 20 a 24 años
Total Nacional;49.99;Ambos sexos;2014T2;De 20 a 24 años
Total Nacional;52.86;Ambos sexos;2014T1;De 20 a 24 años
Total Nacional;50.93;Ambos sexos;2013T4;De 20 a 24 años
Total Nacional;50.14;Ambos sexos;2013T3;De 20 a 24 años
Total Nacional;52.62;Ambos sexos;2013T2;De 20 a 24 años
Total Nacional;53.39;Ambos sexos;2013T1;De 20 a 24 años
Total Nacional;51.41;Ambos sexos;2012T4;De 20 a 24 años
Total Nacional;47.68;Ambos sexos;2012T3;De 20 a 24 años
Total Nacional;48.7;Ambos sexos;2012T2;De 20 a 24 años
Total Nacional;47.71;Ambos sexos;2012T1;De 20 a 24 años
Total Nacional;44.05;Ambos sexos;2011T4;De 20 a 24 años
Total Nacional;42.0;Ambos sexos;2011T3;De 20 a 24 años
Total Nacional;42.17;Ambos sexos;2011T2;De 20 a 24 años
Total Nacional;41.14;Ambos sexos;2011T1;De 20 a 24 años
Total Nacional;38.33;Ambos sexos;2010T4;De 20 a 24 años
Total Nacional;35.95;Ambos sexos;2010T3;De 20 a 24 años
Total Nacional;36.96;Ambos sexos;2010T2;De 20 a 24 años
Total Nacional;36.31;Ambos sexos;2010T1;De 20 a 24 años
Total Nacional;34.67;Ambos sexos;2009T4;De 20 a 24 años
Total Nacional;34.54;Ambos sexos;2009T3;De 20 a 24 años
Total Nacional;33.26;Ambos sexos;2009T2;De 20 a 24 años
Total Nacional;30.63;Ambos sexos;2009T1;De 20 a 24 años
Total Nacional;24.5;Ambos sexos;2008T4;De 20 a 24 años
Total Nacional;19.8;Ambos sexos;2008T3;De 20 a 24 años
Total Nacional;18.56;Ambos sexos;2008T2;De 20 a 24 años
Total Nacional;17.75;Ambos sexos;2008T1;De 20 a 24 años
Total Nacional;15.18;Ambos sexos;2007T4;De 20 a 24 años
Total Nacional;14.91;Ambos sexos;2007T3;De 20 a 24 años
Total Nacional;14.78;Ambos sexos;2007T2;De 20 a 24 años
Total Nacional;15.02;Ambos sexos;2007T1;De 20 a 24 años
Total Nacional;14.11;Ambos sexos;2006T4;De 20 a 24 años
Total Nacional;14.46;Ambos sexos;2006T3;De 20 a 24 años
Total Nacional;14.54;Ambos sexos;2006T2;De 20 a 24 años
Total Nacional;15.85;Ambos sexos;2006T1;De 20 a 24 años
Total Nacional;16.17;Ambos sexos;2005T4;De 20 a 24 años
Total Nacional;15.4;Ambos sexos;2005T3;De 20 a 24 años
Total Nacional;17.27;Ambos sexos;2005T2;De 20 a 24 años
Total Nacional;19.23;Ambos sexos;2005T1;De 20 a 24 años
Total Nacional;19.31;Ambos sexos;2004T4;De 20 a 24 años
Total Nacional;19.57;Ambos sexos;2004T3;De 20 a 24 años
Total Nacional;20.11;Ambos sexos;2004T2;De 20 a 24 años
Total Nacional;20.3;Ambos sexos;2004T1;De 20 a 24 años
Total Nacional;20.66;Ambos sexos;2003T4;De 20 a 24 años
Total Nacional;19.76;Ambos sexos;2003T3;De 20 a 24 años
Total Nacional;19.26;Ambos sexos;2003T2;De 20 a 24 años
Total Nacional;20.85;Ambos sexos;2003T1;De 20 a 24 años
Total Nacional;21.03;Ambos sexos;2002T4;De 20 a 24 años
Total Nacional;19.89;Ambos sexos;2002T3;De 20 a 24 años
Total Nacional;19.49;Ambos sexos;2002T2;De 20 a 24 años
Total Nacional;20.42;Ambos sexos;2002T1;De 20 a 24 años
Total Nacional;12.72;Ambos sexos;2019T3;De 25 a 54 años
Total Nacional;12.76;Ambos sexos;2019T2;De 25 a 54 años
Total Nacional;13.48;Ambos sexos;2019T1;De 25 a 54 años
Total Nacional;13.18;Ambos sexos;2018T4;De 25 a 54 años
Total Nacional;13.39;Ambos sexos;2018T3;De 25 a 54 años
Total Nacional;14.01;Ambos sexos;2018T2;De 25 a 54 años
Total Nacional;15.58;Ambos sexos;2018T1;De 25 a 54 años
Total Nacional;15.23;Ambos sexos;2017T4;De 25 a 54 años
Total Nacional;15.02;Ambos sexos;2017T3;De 25 a 54 años
Total Nacional;15.84;Ambos sexos;2017T2;De 25 a 54 años
Total Nacional;17.56;Ambos sexos;2017T1;De 25 a 54 años
Total Nacional;17.19;Ambos sexos;2016T4;De 25 a 54 años
Total Nacional;17.5;Ambos sexos;2016T3;De 25 a 54 años
Total Nacional;18.48;Ambos sexos;2016T2;De 25 a 54 años
Total Nacional;19.67;Ambos sexos;2016T1;De 25 a 54 años
Total Nacional;19.42;Ambos sexos;2015T4;De 25 a 54 años
Total Nacional;19.48;Ambos sexos;2015T3;De 25 a 54 años
Total Nacional;20.88;Ambos sexos;2015T2;De 25 a 54 años
Total Nacional;22.42;Ambos sexos;2015T1;De 25 a 54 años
Total Nacional;22.1;Ambos sexos;2014T4;De 25 a 54 años
Total Nacional;21.89;Ambos sexos;2014T3;De 25 a 54 años
Total Nacional;22.82;Ambos sexos;2014T2;De 25 a 54 años
Total Nacional;24.39;Ambos sexos;2014T1;De 25 a 54 años
Total Nacional;24.15;Ambos sexos;2013T4;De 25 a 54 años
Total Nacional;23.98;Ambos sexos;2013T3;De 25 a 54 años
Total Nacional;24.41;Ambos sexos;2013T2;De 25 a 54 años
Total Nacional;25.3;Ambos sexos;2013T1;De 25 a 54 años
Total Nacional;24.31;Ambos sexos;2012T4;De 25 a 54 años
Total Nacional;23.25;Ambos sexos;2012T3;De 25 a 54 años
Total Nacional;22.78;Ambos sexos;2012T2;De 25 a 54 años
Total Nacional;22.71;Ambos sexos;2012T1;De 25 a 54 años
Total Nacional;21.1;Ambos sexos;2011T4;De 25 a 54 años
Total Nacional;19.7;Ambos sexos;2011T3;De 25 a 54 años
Total Nacional;19.08;Ambos sexos;2011T2;De 25 a 54 años
Total Nacional;19.65;Ambos sexos;2011T1;De 25 a 54 años
Total Nacional;18.62;Ambos sexos;2010T4;De 25 a 54 años
Total Nacional;18.06;Ambos sexos;2010T3;De 25 a 54 años
Total Nacional;18.33;Ambos sexos;2010T2;De 25 a 54 años
Total Nacional;18.48;Ambos sexos;2010T1;De 25 a 54 años
Total Nacional;17.25;Ambos sexos;2009T4;De 25 a 54 años
